IP,端口,速度(MB/s),延迟(ms),国家地区,数据中心(CF机房),宽带属性,所属ASN,网络服务商(ISP),寻迹雷达状态
154.31.116.202,443,55.79,255.81,日本 日本 Tokyo,东京 (NRT),?数据,AS32519,DMIT Cloud Services,[反代网络] 寻迹落地: 东京 (NRT)
69.63.212.12,443,31.41,485.23,美国 美国 Los Angeles,洛杉矶 (LAX),?数据,AS906,DMIT Cloud Services,[反代网络] 寻迹落地: 洛杉矶 (LAX)
69.63.208.190,443,26.83,537.99,美国 美国 Los Angeles,洛杉矶 (LAX),?数据,AS906,DMIT Cloud Services,[反代网络] 寻迹落地: 洛杉矶 (LAX)
154.26.184.248,443,26.72,502.88,美国 美国 Los Angeles,洛杉矶 (LAX),?数据,AS906,DMIT Cloud Services,[反代网络] 寻迹落地: 洛杉矶 (LAX)
64.186.227.231,443,25.77,542.11,美国 美国 Los Angeles,洛杉矶 (LAX),?数据,AS906,DMIT Cloud Services,[反代网络] 寻迹落地: 洛杉矶 (LAX)
64.186.230.59,443,25.56,584.75,美国 美国 Los Angeles,洛杉矶 (LAX),?数据,AS906,DMIT Cloud Services,[反代网络] 寻迹落地: 洛杉矶 (LAX)
64.186.229.104,443,24.69,458.66,美国 美国 Los Angeles,洛杉矶 (LAX),?数据,AS906,DMIT Cloud Services,[反代网络] 寻迹落地: 洛杉矶 (LAX)
179.253.224.61,443,24.18,527.75,巴西 巴西 Curitiba,洛杉矶 (LAX),?数据,AS906,DMIT Cloud Services,[反代网络] 寻迹落地: 洛杉矶 (LAX)
64.186.245.27,443,23.56,530.93,美国 美国 Los Angeles,洛杉矶 (LAX),?数据,AS906,DMIT Cloud Services,[反代网络] 寻迹落地: 洛杉矶 (LAX)
154.26.176.25,443,22.68,556.16,美国 美国 Los Angeles,洛杉矶 (LAX),?数据,AS906,DMIT Cloud Services,[反代网络] 寻迹落地: 洛杉矶 (LAX)
179.255.96.19,443,22.55,511.06,美国 美国 Los Angeles,洛杉矶 (LAX),?数据,AS906,DMIT Cloud Services,[反代网络] 寻迹落地: 洛杉矶 (LAX)
